〇,0; zéro,ling2
粮票,coupon de rationnement,liang2 piao4
粮站,station d'approvisionnement en grains,liang2 zhan4
粮草,provisions et fourrage (pour les troupes militaires),liang2 cao3
粮食,céréale,liang2 shi5
粮食作物,céréales,liang2 shi5 zuo4 wu4
粱,céréales d'excellente qualité; grains d'excellente qualité,liang2
粲,riz blanc; net,can4
粲然,clair et lumineux; avec un grand sourire,can4 ran2
粹,pur,cui4
粺,riz poli,bai4
粻,nourriture; riz blanc cuit,zhang1
粼,propre (comme de l'eau),lin2
粼粼,limpide et cristalline (eau),lin2 lin2
粽,pouding; triangulaire de millet ou de riz,zong4
粽子,gâteau de riz glutineux enveloppé dans des feuilles de bambou,zong4 zi5
精,finesse; essence; substance; vitalité; vigueur; raffiné; fin; soigné; intelligent; malin,jing1
精于,habile dans; maîtrisant qch; apte à,jing1 yu2
精光,ne rien avoir; être à sec; dépouillé de tout; tout nu; complètement vide; propre et brillant,jing1 guang1
精兵,troupes d'élite,jing1 bing1
精兵简政,avoir moins de troupes mais de meilleures et une administration simplifiée mais efficace; avoir un personnel réduit mais meilleur,jing1 bing1 jian3 zheng4
精准,exact; précis; précision,jing1 zhun3
精制,affiner; dépuration; purification; purifier; raffinage; raffinement,jing1 zhi4
精力,énergie; vigueur,jing1 li4
精力充沛,vigoureux,jing1 li4 chong1 pei4
精华,quintessence; élite,jing1 hua2
精卫,Jingwei,Jing1 wei4
精卫填海,Jingwei,Jing1 wei4 tian2 hai3
精品,produits de qualité,jing1 pin3
精囊,spermatophore,jing1 nang2
精妙,exquis; fin et délicate (hab. un travail d'art),jing1 miao4
精子,spermatozoïde,jing1 zi3
精密,précis; minutieux,jing1 mi4
精密度,Calcul d'incertitude,jing1 mi4 du4
精尽人亡,mourir d'éjaculation excessive,jing1 jin4 ren2 wang2
精工,Seiko,jing1 gong1
精巧,exquis; ingénieux; artistique,jing1 qiao3
精干,habile et capable en affaires,jing1 gan4
精度,longitude,jing1 du4
精彩,excellent; admirable,jing1 cai3
精微,subtil; profond,jing1 wei1
精心,minutieusement; méticuleux; détaillé; fin (précieux),jing1 xin1
精悍,valeureux et habile; intrépide et capable; concis et nerveux (style),jing1 han4
精打细算,faire son compte avec attention et calculer avec soin; savoir bien faire son compte; être minutieux et précis dans ses calculs,jing1 da3 xi4 suan4
精挑细选,sélectionner très attentivement,jing1 tiao1 xi4 xuan3
精明,ingénieux; intelligent,jing1 ming2
精明强干,intelligent et capable,jing1 ming2 qiang2 gan4
精明能干,capable et efficace,jing1 ming2 neng2 gan4
精氨酸,Arginine,jing1 an1 suan1
精油,huile essentielle,jing1 you2
精液,semence; sperme; éjaculation,jing1 ye4
精深,raffiné; profond,jing1 shen1
精湛,exquis; consommé; parfait; excellent,jing1 zhan4
精灵,démon; esprit malin; génie; elfe,jing1 ling2
精炼,raffinage; raffinement,jing1 lian4
精疲力尽,exténué; fatigué; épuisé; usé,jing1 pi2 li4 jin4
精疲力竭,être épuisé; exténué; sur les rotules,jing1 pi2 li4 jie2
精白,blanc pure; blanc sans tâche,jing1 bai2
精益求精,perfectionner sans cesse son art ou son travail; chercher toujours à s'améliorer; faire de mieux en mieux; chercher sans cesse à progresser,jing1 yi4 qiu2 jing1
精确,précis,jing1 que4
精确度,Calcul d'incertitude,jing1 que4 du4
精确性,exactitude,jing1 que4 xing4
精神,vigueur; vitalité; dynamisme,jing1 shen5
精神健康,santé mentale,jing1 shen2 jian4 kang1
精神分析,Psychanalyse,jing1 shen2 fen1 xi1
精神分裂症,Schizophrénie,jing1 shen2 fen1 lie4 zheng4
精神官能症,névrose,jing1 shen2 guan1 neng2 zheng4
精神恍惚,absent à moi-même; en transe; l'esprit absent,jing1 shen2 huang3 hu1
精神文明,civilisation spirituelle (Deng Xiaoping),jing1 shen2 wen2 ming2
精神满腹,plein de sagesse; astucieux et plein d'expérience,jing1 shen2 man3 fu4
精神状态,état d'esprit; mentalité,jing1 shen2 zhuang4 tai4
精神狂乱,délire; maladie mentale,jing1 shen2 kuang2 luan4
精神疾病,maladie mentale,jing1 shen2 ji2 bing4
精神病,maladie,jing1 shen2 bing4
精神病学家,Psychiatrie,jing1 shen2 bing4 xue2 jia1
精神科,psychiatrie,jing1 shen2 ke1
精神药品,psychotrope,jing1 shen2 yao4 pin3
精神障碍,trouble psychotique,jing1 shen2 zhang4 ai4
精神面貌,disposition d'esprit; physionomie spirituelle et morale; état d'esprit; mentalité,jing1 shen2 mian4 mao4
精神领袖,chef spirituel (d'une nation ou d'une église); chef religieux,jing1 shen2 ling3 xiu4
精神鸦片,opium spirituel; opium,jing1 shen2 ya1 pian4
精简,simplifier; réduire,jing1 jian3
精算,science actuarielle,jing1 suan4
精算师,actuaire,jing1 suan4 shi1
精粹,essence,jing1 cui4
精索静脉曲张,varicocèle,jing1 suo3 jing4 mai4 qu1 zhang1
精练,décreusage; décrusage; décruage,jing1 lian4
精细,fin; raffiné; précis; subtil; soigneux; minutieux,jing1 xi4
精美,élégant; exquis; fin; beau; gracieux; délicieux; artistique,jing1 mei3
精美绝伦,"magnifique, sans aucune discussion; exquis, sans comparaison possible",jing1 mei3 jue2 lun2
精耕细作,Agriculture intensive,jing1 geng1 xi4 zuo4
精致,fin; exquis; délicat,jing1 zhi4
精良,excellent; supérieur; fini; achevé; parfait; de la meilleure qualité,jing1 liang2
精英,aristocratie; élite; essence; crème,jing1 ying1
精虫,spermatozoïde,jing1 chong2
精装,relieur; édition de luxe,jing1 zhuang1
精诚,sincérité absolue; fidélité; constance,jing1 cheng2
精读,lecture intensive; lire attentivement; lecture attentive,jing1 du2
精辟,pénétrant; percant; sagace; lucide,jing1 pi4
精进,aller de l'avant avec vigueur,jing1 jin4
精选,premier choix,jing1 xuan3
精通,maîtriser (une langue),jing1 tong1
精锐,d'élite; les meilleurs,jing1 rui4
精馏,distillation,jing1 liu4
精髓,moelle; esprit; essence; quintessence,jing1 sui3
粿,riz cuit pour faire des gâteaux,guo3
糅,mélange; mix; mixé,rou2
糅合,mélanger,rou2 he2
糇,provisions,hou2
糈,paye officielle; riz de sacrifice,xu3
糊,coller; brûler en cuisant,hu2
糊,coller; brûler en cuisant,hu4
糊墙,habiller un mur de papier-peint,hu2 qiang2
糊墙纸,papier peint,hu2 qiang2 zhi3
糊弄,bâcler; gâcher,hu4 nong5
糊涂,confus; étourdi,hu2 tu5
糊涂虫,gaffeur; maladroit; plouc,hu2 tu5 chong2
糊精,Dextrine,hu2 jing1
糊糊,bouillie; (fig.) en difficulté,hu2 hu5
糊里糊涂,confus; flou; indistinct; vague; dans un état second,hu2 li5 hu2 tu2
糌,zanba (pain d'orge tibétain),zan1
糌粑,Tsampa,zan1 ba1
糒,nourriture pour un voyage; gâteau,bei4
糔,laver (riz etc.),xiu3
糕,gâteau,gao1
糕点,Pâtisserie,gao1 dian3
糕饼,gâteaux; pâtisseries,gao1 bing3
糖,sucre; bonbon,tang2
糖分,Sucre,tang2 fen4
糖友,malade du diabète; diabètique,tang2 you3
糖寮,moulin à sucre,tang2 liao2
糖尿病,diabète sucré,tang2 niao4 bing4
糖房,moulin à sucre,tang2 fang2
糖果,bonbon,tang2 guo3
糖果屋,Hansel et Gretel (conte),tang2 guo3 wu1
糖水,sirop; eau sucrée; tong sui (soupe sucrée),tang2 shui3
糖浆,sirop,tang2 jiang1
糖类,glucide,tang2 lei4
糖精,saccharine,tang2 jing1
糖蜜,Mélasse,tang2 mi4
糖饴,sucre de malt; maltose,tang2 yi2
糖高粱,sorgho sucré,tang2 gao1 liang2
糗,grain grillé,qiu3
糗事,incident maladroit,qiu3 shi4
糙,grossier (texture); rêche,cao1
糙米,riz brun; riz complet; riz cargo,cao1 mi3
糜,bouillie de riz; écume; entièrement,mei2
糜,millet,mi2
糜烂,corrompu; débauché,mi2 lan4
糟,pourri; gâté; mauvais; désastreux; lie; marc céréales,zao1
糟了,ça alors !; oh non !,zao1 le5
糟粕,rebut; déchet,zao1 po4
糟糕,affreux; c'est affreux !; dommage !; c'est trop bête !; mince !,zao1 gao1
糟糠,balle; balle de grain,zao1 kang1
糟蹋,souiller; souffleter; profanation; prostitution,zao1 ta4
糠,balle du grain; son; chétif; mesquin; sans soin,kang1
糠醛,furfural,kang1 quan2
糨,colle de farine; amidon,jiang4
糨糊,colle à base de farine,jiang4 hu4
糯,riz glutineux,nuo4
糯稻,riz gluant,nuo4 dao4
糯米,riz glutineux; riz gluant,nuo4 mi3
糯米粉,farine de riz gluant,nuo4 mi3 fen3
糯米酒,vin de riz glutineux,nuo4 mi3 jiu3
糱,grain fermentant; levure,nie4
糲,grossier (grain),li4
糸,fil de soie; 120e radical,mi4
系,relation; relier; souci; inquiétude,xi4
系,attacher,ji4
系,système; département,xi4
系主任,président du département,xi4 zhu3 ren4
系列,série; suite,xi4 lie4
系列产品,série de produits,xi4 lie4 chan3 pin3
系列片,série télévisée,xi4 lie4 pian4
系带,lacet,ji4 dai4
系数,coefficient,xi4 shu4
系统,système,xi4 tong3
系统分析员,Analyste (informatique),xi4 tong3 fen1 xi1 yuan2
系统学,Phylogénie,xi4 tong3 xue2
系统工程,ingénierie des systèmes,ji4 tong3 gong1 cheng2
系统性,systématique,xi4 tong3 xing4
系统管理员,Administrateur systèmes,xi4 tong3 guan3 li3 yuan2
系谱,généalogie,xi4 pu3
系领带,nouer sa cravate,ji4 ling3 dai4
紊,en désordre; troublé; confus; embrouillé,wen3
紊,désordre,wen4
紊乱,confus; confusion; trouble,wen3 luan4
紊流,Turbulence,wen3 liu2
紑,lumineux; brillant,fou2
紘,cordon; vaste; expansif,hong2
紞,frange en soie d'une couronne,dan3
紟,écharpe; attacher,jin1
素,jamais; toujours; blanc; simple; végétarien; maigre,su4
素不相识,(expr. idiom.) être totalement étranger,su4 bu4 xiang1 shi2
素养,formation assidue du caractère; maîtrise de soi,su4 yang3
素常,habituellement; généralement,su4 chang2
素描,dessin,su4 miao2
素数,Nombre premier,su4 shu4
素有,avoir; avoir toujours eu,su4 you3
素材,matériaux,su4 cai2
素来,habituellement; d'habitude; usuellement,su4 lai2
素菜,plats de légumes,su4 cai4
素质,qualité; formation; niveau d'instruction,su4 zhi4
素质教育,(axé sur la) qualité de l'éducation,su4 zhi4 jiao4 yu4
素雅,simple mais de bon goût,su4 ya3
素食,régime végétarien; nourriture végétarienne,su4 shi2
素食者,Végétarisme,su4 shi2 zhe3
索,chercher; réclamer; corde,suo3
索取,exiger; réclamer; demander,suo3 qu3
索多玛,Sodome,Suo3 duo1 ma3
索尔,Thor,Suo3 er3
索尼爱立信,Sony Ericsson,suo3 ni2 ai4 li4 xin4
索引,index,suo3 yin3
索性,franchement; carrément,suo3 xing4
索恩河畔沙隆,Chalon-sur-Saône,Suo3 en1 he2 pan4 sha1 long2
索求,chercher; demander,suo3 qiu2
索然,fade; insipide; sans intérêt,suo3 ran2
索然无味,"terne, insipide",suo3 ran2 wu2 wei4
索罗斯,George Soros,Suo3 luo2 si1
索菲,Sophie de Wurtemberg,suo3 fei1
索菲亚,Sofia,Suo3 fei1 ya4
索要,demander,suo3 yao4
索解,chercher une réponse; chercher une explication; expliquer; explication,suo3 jie3
索赔,demander réparation; faire une réclamation,suo3 pei2
索道,téléphérique,suo3 dao4
索非亚,Sofia (Bulgarie),Suo3 fei1 ya4
索马里,Somalie,Suo3 ma3 li3
紧,tendu; serré; étroit; urgent,jin3
紧俏,très recherché; qui se vend bien,jin3 qiao4
紧凑,concis; compact,jin3 cou4
紧密,étroit; serré; dense,jin3 mi4
紧张,manquer; tendu; acharné; intense; excité; nerveux,jin3 zhang1
紧急,urgent; pressé,jin3 ji2
紧急情况,urgence,jin3 ji2 qing2 kuang4
紧急状态,état d'urgence,jin3 ji2 zhuang4 tai4
紧接着,peu de temps après,jin3 jie1 zhe5
紧握,serrer,jin3 wo4
紧紧,près; étroitement,jin3 jin3
紧缩,réduire; compresser; resserrer; compression; resserrement,jin3 suo1
紧缺,manquer,jin3 que1
紧要,critique; crucial; vital; important; pressant,jin3 yao4
紧跟,suivre avec précision; se conformer à,jin3 gen1
紧身,collant (vêtement),jin3 shen1
紧身衣,moulant (vêtement),jin3 shen1 yi1
紧身裤,Leggings,jin3 shen1 ku4
紧迫,urgent; pressé,jin3 po4
紧追,droit de poursuite; poursuite,jin3 zhui1
紫,pourpre; violet,zi3
紫丁香,Syringa,zi3 ding1 xiang1
紫外,Ultraviolet,zi3 wai4
紫外光,Ultraviolet,zi3 wai4 guang1
紫外线,ultraviolet,zi3 wai4 xian4
紫斑,Purpura,zi3 ban1
紫晶,Améthyste,zi3 jing1
紫杉,Taxus cuspidata; if du Japon,zi3 shan1
紫檀,bois de santal rouge,zi3 tan2
紫气东来,Il n'y a pas de fumée sans feu (sens positif); signe annonciateur d'un événement propice (Chengyu faisant référence à une anecdote de Confucius - litt le souffle pourpre venant de l'Est),zi3 qi4 dong1 lai2
紫水晶,améthyste,zi3 shui3 jing1
紫玉兰,Magnolia liliiflora,zi3 yu4 lan2
紫禁城,la Cité interdite,Zi3 jin4 cheng2
紫竹,Phyllostachys nigra,zi3 zhu2
紫红色,magenta,zi3 hong2 se4
紫罗兰,giroflée,zi3 luo2 lan2
紫罗兰色,violet,zi3 luo2 lan2 se4
紫色,pourpre; violet,zi3 se4
紫芝眉宇,votre apparence (honor.),zi3 zhi1 mei2 yu3
紫花地丁,violette chinoise (viola mandsurica),zi3 hua1 di4 ding1
紫苏,Shiso,zi3 su1
紫茉莉,Mirabilis jalapa,zi3 mo4 li5
紫荆,Cercis chinensis; Gainier de Chine,zi3 jing1
紫草,Grémil pourpre bleu,zi3 cao3
紫菜,algue comestible,zi3 cai4
紫薇,Lilas des Indes,zi3 wei1
紫藤,glycine (plante),zi3 teng2
紫蝴蝶,La Triade du Papillon,zi3 hu2 die2
紫貂,Zibeline,zi3 diao1
紫质症,porphyrie,zi3 zhi4 zheng4
紫金山,Montagne Pourpre,Zi3 jin1 Shan1
紫铜,Cuivre,zi3 tong2
紬,(ancien) soie,chou2
累,lier; grimper,lei2
累,souvent; superposer; accumuler; continu; progressif,lei3
累,fatiguer; causer; impliquer; lasser; fatigué; épuisé; las,lei4
累了,fatigué,lei4 le5
累加器,Accumulateur (informatique),lei3 jia1 qi4
累死了,usé; épuisé; mort de fatique,lei4 si3 le5
累牍连篇,"écrit après écrit, composition après composition : composition qui n",lei3 du2 lian2 pian1
累犯,récidive (droit français),lei3 fan4
累积,accumuler,lei3 ji1
累累,innombrable; en grand nombre,lei4 lei4
累觉不爱,trop fatigué pour aimer (argot pour exprimer la dépression),lei4 jue2 bu4 ai4
累计,totaliser,lei3 ji4
累赘,gênant; embarrassant; lourd; verbeux,lei2 zhui4
累进,progression; accumulation successive,lei3 jin4
紵,ramie,zhu4
紽,tresse sur une robe,tuo2
紾,malhonnête; obstiné; tordre une corde,zhen3
紿,tricher; faire semblant; duper; tromper,dai4
絁,rugueux; soie indélicate,shi1
絃,corde d'arc; corde d'instrument de musique; ressort de montre; corde (droite joignant les deux points sur une courbe); hypoténuse,xian2
絅,vêtement monotone sans doublure,jiong3
絏,laisse,xie4
絓,type de soie grossière; sac utilisé pour envelopper la soie avant de la laver,kua1
絜,propre,jie2
絣,"Ikat, un type de soie tissée; kasuri",bing3
絪,force générative; émanation magique,yin1
絮,ouate; duvet; ouater; rembourrer,xu4
絮叨,litanie; babillage,xu4 dao5
絮语,bavarder sans cesse,xu4 yu3
絰,toile de chanvre portée par des personnes en deuil,die2
絷,attacher (les jambes d'un cheval); ficeler; ligoter; corde,zhi2
絺,fibres fines de chanvre; lin,chi1
絿,urgent; pressant,qiu2
綍,grosse corde,fu2
綦,très; énormément,qi2
綮,bannière brodée,qi3
綯,lien; corde; tortillon,tao2
緅,soie pourpre,zou1
緑,Green,lu:4
緜,Laine,mian2
縏,petit sac; sac,pan2
縕,force générative; couleur orange,yun1
縕,chanvre; vague; mystérieux,yun4
縗,vêtements de deuil,cui1
縠,étoffe de gaze plissée; crêpe de soie fine,hu2
縡,affaire,zai3
縡,problème; affaire,zai4
縢,lier; attacher; attacher,teng2
縳,attacher; nouer,zhuan4
繁,nombreux; multiple; compliqué,fan2
繁体,Sinogramme traditionnel,fan2 ti3
繁体中文,Sinogramme traditionnel,fan2 ti3 zhong1 wen2
繁体字,caractère chinois traditionnel; caractère non simplifié,fan2 ti3 zi4
繁华,florissant; prospère; animé,fan2 hua2
繁复,touffu; confus et foisonnant,fan2 fu4
繁多,multiple; varié; multiplicité,fan2 duo1
繁征博引,série élaborée de références; beaucoup de citations,fan2 zheng1 bo2 yin3
繁忙,occupé; affairé; occupé; affairé,fan2 mang2
繁星,nombreuses étoiles; ciel plein d'étoiles,fan2 xing1
繁杂,complexe; compliqué; embrouillé,fan2 za2
繁殖,reproduction (biologie),fan2 zhi2
繁琐,en grand nombre et compliqué; Embourbé dans les détails mineurs,fan2 suo3
繁盛,vigoureux; prospère; florissant,fan2 sheng4
繁简,compliqué et simple; forme traditionnelle et simplifié des caractères chinois,fan2 jian3
繁花,fleurs luxuriantes,fan2 hua1
繁茂,touffu; luxuriant,fan2 mao4
繁荣,faire prospérer; florissant; prospère,fan2 rong2
繁衍,se multiplier,fan2 yan3
繁重,lourd; écrasant pénible,fan2 zhong4
繇,suivre; florissant,yao2
繇,cause; comme; encore,you2
繐,gland,sui4
繖,parapluie,san3
繙,traduire; interpréter; flotter dans le vent,fan1
繣,obstiné; pervers,hua4
繨,noeud (d'une corde),da2
纂,compiler; éditer; recueil,zuan3
纆,lien; corde,mo4
纇,faille; noeud,lei4
纛,(ancien) étendard militaire,dao4
纠,corriger; redresser,jiu1
纠偏,corriger une erreur,jiu1 pian1
纠察,faction,jiu1 cha2
纠正,corriger; redresser,jiu1 zheng4
纠纷,différent,jiu1 fen1
纠缠,s'enchevêtrer; déranger; obséder,jiu1 chan2
纠葛,démêlé,jiu1 ge2
纠错,corriger (une faute de frappe),jiu1 cuo4
纠集,assembler; grouper,jiu1 ji2
纡,sinueux,yu1
红,rouge; succès; vogue; dividende; gratification,hong2
红与黑,Le Rouge et le Noir,hong2 yu3 hei1
红军,Armée rouge,Hong2 jun1
红利,dividende,hong2 li4
红包,enveloppe rouge; prime donnée en dessous de table,hong2 bao1
红十字,la Croix-Rouge,Hong2 shi2 zi4
红十字会,la Croix-Rouge,hong2 shi2 zi4 hui3
红卫兵,Garde rouge (Chine),Hong2 wei4 bing1
红叶,feuilles rouges d'érable (en automne),hong2 ye4
红土,terre rouge; latérite,hong2 tu3
红地毯,tapis rouge,hong2 di4 tan3
红场,Place Rouge,Hong2 chang3
红外,Infrarouge,hong2 wai4
红外线,infrarouge,hong2 wai4 xian4
红娘,marieuse,hong2 niang2
红宝书,le petit livre rouge,Hong2 bao3 shu1
红宝石,rubis,hong2 bao3 shi2
红客,Honker,hong2 ke4
红尘,ce monde; la vie humaine,hong2 chen2
红帽子,chapeau rouge (entrepreneurs capitalistes qui fraient avec le pouvoir communiste pour promouvoir leurs intérêts),hong2 mao4 zi5
红彤彤,rouge vif,hong2 tong1 tong1
红心,coeur dans les jeux de carte; symbole du coeur; bullseye,hong2 xin1
红斑,érythème,hong2 ban1
红斑狼疮,Lupus érythémateux disséminé,hong2 ban1 lang2 chuang1
红新月,Croissant-Rouge,Hong2 xin1 yue4
红旗,drapeau rouge,hong2 qi2
红星,étoile rouge,hong2 xing1
红晕,rougeur,hong2 yun4
红景天,orpin rose; Rhodiola rosea,hong2 jing3 tian1
红曲,colorant alimentaire rouge à base de levure,hong2 qu1
红木,palissandre; roucou,hong2 mu4
红杏出墙,(expr. idiom.) L'abricot rouge fait le mur; une femme ayant une aventure extra-conjugale,hong2 xing4 chu1 qiang2
红松,Pin blanc de Corée,hong2 song1
红果,aubépines,hong2 guo3
红枣,Jujubier commun,hong2 zao3
红树,Rhizophoraceae,hong2 shu4
红树林,Mangrove,hong2 shu4 lin2
红桃,coeur (dans les jeux de carte),hong2 tao2
红楼梦,Le Rêve dans le pavillon rouge,Hong2 lou2 Meng4
红毛丹,Ramboutan,hong2 mao2 dan1
红河州,Préfecture autonome hani et yi de Honghe,Hong2 he2 zhou1
红海,Mer Rouge,Hong2 Hai3
红润,qui a bonne mine; au teint rose; resplendissant,hong2 run4
红潮,marée rouge; eaux colorées,hong2 chao2
红灌木茶,rooibos,hong2 guan4 mu4 cha2
红火,florissant; prospère,hong2 huo3
红火蚁,Fourmi de feu rouge,hong2 huo3 yi3
红灯,lumière rouge,hong2 deng1
红灯区,quartier chaud (prostitution),hong2 deng1 qu1
红灯记,La Légende de la Lanterne Rouge,Hong2 deng1 ji4
红烧,cuire dans la sauce soja,hong2 shao1
红烧肉,viande rouge cuite,hong2 shao1 rou4
红熊猫,petit panda; panda roux; panda fuligineux; panda éclatant; Ailurus fulgens,hong2 xiong2 mao1
红牌,carton rouge,hong2 pai2
红牛,Red Bull,Hong2 Niu2
红珊瑚,corail rouge,hong2 shan1 hu2
红男绿女,(expr. idiom.) jeune paré de vêtements magnifiques,hong2 nan2 lu:4 nu:3
红白喜事,mariages et enterrements,hong2 bai2 xi3 shi4
红眼病,jalousie,hong2 yan3 bing4
红磨坊,Moulin Rouge,hong2 mo4 fang2
红磷,phosphore rouge,hong2 lin2
红粉,rouge et poudre; (fig.) le beau sexe,hong2 fen3
红糖,sucre brut; cassonade,hong2 tang2
红线,ligne rouge,hong2 xian4
红细胞,Érythrocyte,hong2 xi4 bao1
红绿灯,feu de circulation,hong2 lu:4 deng1
红肿,enflammée; rouge et enflé,hong2 zhong3
红脸,rougir; virer au rouge,hong2 lian3
红色,rouge; couleur rouge,hong2 se4
红色娘子军,Le détachement féminin rouge (film),hong2 se4 niang2 zi5 jun1
红色警戒,Red Alert,hong2 se4 jing3 jie4
红花,carthame des teinturiers,hong2 hua1
红苕,patate douce,hong2 shao2
红茶,thé noir,hong2 cha2
红茶菌,Kombucha,hong2 cha2 jun1
红莲,lotus rouge,hong2 lian2
红萝卜,carotte,hong2 luo2 bo5
红薯,patate douce,hong2 shu3
红血球,érythrocyte,hong2 xue4 qiu2
红褐色,auburn,hong2 he4 se4
红豆,haricot azuki,hong2 dou4
红辣椒,piment rouge; piment,hong2 la4 jiao1
红运,bonne chance,hong2 yun4
红通通,rouge vif,hong2 tong1 tong1
红酒,vin rouge,hong2 jiu3
红铜,cuivre,hong2 tong2
红霉素,érythromycine,hong2 mei2 su4
红领巾,foulard rouge; jeune pionnier,hong2 ling3 jin1
红颜,belle femme,hong2 yan2
纣,Di Xin; sangle de selle de cheval,zhou4
纣王,Di Xin,zhou4 wang2
纤,câble de halage; haler; remorquer,qian4
纤,fin; soie; fibre,xian1
纤夫,haleur,qian4 fu1
纤巧,Délicat; délicat,xian1 qiao3
纤弱,gracilité,xian1 ruo4
纤手,mains délicates; mains tendres et douces d'une femme,xian1 shou3
纤柔,délicat; fin,xian1 rou2
纤毛,cil vibratile,xian1 mao2
纤纤,mince; svelte,xian1 xian1
纤细,délicatesse; subtilité; finesse,xian1 xi4
纤维,fibre,xian1 wei2
纤维化,fibrose,xian1 wei2 hua4
纤维素,cellulose,xian1 wei2 su4
纤维素酶,Cellulase,xian1 wei2 su4 mei2
纤维蛋白原,Fibrine,xian1 wei2 dan4 bai2 yuan2
纥,noeud,ge1
纥,soie de piètre qualité,he2
约,peser sur une balance; soupeser,yao1
约,prendre rendez-vous; inviter; environ,yue1
约会,rendez-vous,yue1 hui4
约克,York,Yue1 ke4
约克夏,Yorkshire Terrier,yue1 ke4 xia4
约克郡,Yorkshire,Yue1 ke4 jun4
约合,environ; à peu près,yue1 he2
约定,convenir de; être d'accord; promettre; promesse,yue1 ding4
约拿,Jonas,yue1 na2
约数,Divisibilité,yue1 shu4
约旦,Jordanie,Yue1 dan4
约旦河,Jourdain,Yue1 dan4 He2
约束,contraindre; lier,yue1 shu4
约法,loi temporaire; constitution provisoire,yue1 fa3
约炮,(argot) coup d'un soir; plan cul,yue1 pao4
约瑟,Joseph,Yue1 se4
约瑟夫,Joseph,Yue1 se4 fu1
约略,à peu près; environ; approximativement; en gros,yue1 lu:e4
约等于,approximativement égal à,yue1 deng3 yu2
约翰,John,Yue1 han4
约翰逊,Johnson,Yue1 han4 xun4
约莫,environ; à peu près; approximativement,yue1 mo5
约见,organiser une entrevue; un rendez-vous,yue1 jian4
约计,compter approximativement,yue1 ji4
约请,inviter; convier,yue1 qing3
级,marche; étage; niveau; échelon; classe; promotion,ji2
级别,grade; hiérarchie,ji2 bie2
级差,différentiel (entre les grades); différence de salaire,ji2 cha1
级数,Série (mathématiques),ji2 shu4
级联,Quadripôle,ji2 lian2
纨,soie; gaze,wan2
纨绔子弟,Dude,wan2 ku4 zi3 di4
纩,beau fil de soie ou de coton,kuang4
纪,discipline; mémoires,ji4
纪,(nom de famille),Ji3
纪事,chronique; enregistrement des fait,ji4 shi4
纪伯伦,Gibran,Ji4 bo2 lun2
纪元,point de départ d'une chronologie; ère; époque,ji4 yuan2
纪委,commission de contrôle de la discipline,ji4 wei3
纪实,documentaire,ji4 shi2
纪实文学,roman non fictionnel; littérature documentaire,ji4 shi2 wen2 xue2
纪年,annales,ji4 nian2
纪录,record,ji4 lu4
纪录片,documentaire,ji4 lu4 pian4
纪律,discipline,ji4 lu:4
纪念,commémorer; souvenir; jour commémoratif; anniversaire,ji4 nian4
纪念品,souvenir; bibelot,ji4 nian4 pin3
纪念堂,salle commémorative; mémorial,ji4 nian4 tang2
纪念日,jour commémoratif; anniversaire,ji4 nian4 ri4
纪念活动,commémoration; activité commémorative,ji4 nian4 huo2 dong4
纪念物,mémorial,ji4 nian4 wu4
纪念碑,monument,ji4 nian4 bei1
纪念章,médaille commémorative,ji4 nian4 zhang1
纪念邮票,Timbre commémoratif,ji4 nian4 you2 piao4
纪念馆,salle commémorative; mémorial,ji4 nian4 guan3
纪检,inspection disciplinaire,ji4 jian3
纪要,résumé; compte-rendu; compte rendu; récapitulatif,ji4 yao4
纫,tresser; enfiler,ren4
纬,trame; latitude,wei3
纬度,Latitude,wei3 du4
纬纱,trame,wei3 sha1
纬线,parallèle (géographie),wei3 xian4
纭,confus; en désordre; pêle-mêle,yun2
纯,pur; sincère,chun2
纯净,pur; clair; propre,chun2 jing4
纯净水,eau pure,chun2 jing4 shui3
纯利,bénéfice net,chun2 li4
纯属,entièrement; complètement; purement et simplement; en bloc; absolu; catégorique; pur et simple,chun2 shu3
纯度,degré de pureté; pureté; concentration (d'une drogue); titre (au sens de teneur),chun2 du4
纯情,pur et innocent; coeur pur,chun2 qing2
纯朴,honnête; simple; naturel,chun2 pu3
纯正,pureté,chun2 zheng4
纯洁,pur,chun2 jie2
纯熟,très versé dans; expert; exercé,chun2 shu2
纯牛奶,lait pur,chun2 niu2 nai3
纯白,blanc pur,chun2 bai2
纯真,pur; sincère,chun2 zhen1
纯碱,Carbonate de sodium,chun2 jian3
纯种,race pure,chun2 zhong3
纯粹,pur; simple,chun2 cui4
纯金,or pur,chun2 jin1
纯音,son pur,chun2 yin1
纰,lâche,pi1
纰漏,faute d'inattention; incident,pi1 lou4
纱,filé; gaze,sha1
纱厂,filature de coton; usine de textile,sha1 chang3
纱巾,foulard ou écharpe en gaze,sha1 jin1
纱布,gaze,sha1 bu4
纱帽,chapeau à gaze; fig. travail d'officiel,sha1 mao4
纱线,Fil textile,sha1 xian4
纱锭,fuseau,sha1 ding4
纲,élément essentiel,gang1
纲要,programme; sommaire; abrégé; plan,gang1 yao4
纲领,programme,gang1 ling3
纳,recevoir; accepter; payer,na4
纳什维尔,Nashville,Na4 shi2 wei2 er3
纳入,intégrer; mettre,na4 ru4
纳兰性德,Nalan Xingde,Na4 lan2 Xing4 de2
纳凉,profiter de l'air frais,na4 liang2
纳多,Nado,na4 duo1
